Date : 2025-10-16 14:57:36
Directory : /home/maniospas/Desktop/p4ot/smol
Total : 189 files,  21199 codes, 2007 comments, 1907 blanks, all 25113 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/maniospas/Desktop/p4ot/smol/src/codegen.h                                        | C++        |         78 |          0 |         10 |         88 |
| /home/maniospas/Desktop/p4ot/smol/src/codegen/codegen.cpp                              | C++        |        112 |         17 |         10 |        139 |
| /home/maniospas/Desktop/p4ot/smol/src/codegen/codegen_all.cpp                          | C++        |        105 |         13 |          8 |        126 |
| /home/maniospas/Desktop/p4ot/smol/src/codegen/codegen_sync.cpp                         | C++        |         52 |         15 |         14 |         81 |
| /home/maniospas/Desktop/p4ot/smol/src/codegen/handle_def_of_service.cpp                | C++        |         94 |         13 |          5 |        112 |
| /home/maniospas/Desktop/p4ot/smol/src/codegen/handle_include.cpp                       | C++        |        107 |         21 |          7 |        135 |
| /home/maniospas/Desktop/p4ot/smol/src/codegen/handle_install.cpp                       | C++        |         45 |         12 |          3 |         60 |
| /home/maniospas/Desktop/p4ot/smol/src/codegen/handle_union.cpp                         | C++        |         44 |         12 |          9 |         65 |
| /home/maniospas/Desktop/p4ot/smol/src/def.cpp                                          | C++        |         72 |         12 |          6 |         90 |
| /home/maniospas/Desktop/p4ot/smol/src/def.h                                            | C++        |        297 |         25 |         26 |        348 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/assign_variable.cpp                       | C++        |        120 |         15 |          2 |        137 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/call_type.cpp                             | C++        |        499 |         28 |         22 |        549 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/directives/parse_directive.cpp            | C++        |         74 |         12 |          2 |         88 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/directives/parse_directive_body.cpp       | C++        |         46 |         13 |          1 |         60 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/directives/parse_directive_fail.cpp       | C++        |         53 |         12 |          1 |         66 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/directives/parse_directive_finally.cpp    | C++        |         59 |         12 |          1 |         72 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/directives/parse_directive_head.cpp       | C++        |         30 |         12 |          1 |         43 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/directives/parse_directive_link.cpp       | C++        |         27 |         12 |          1 |         40 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/directives/parse_directive_release.cpp    | C++        |         54 |         23 |          1 |         78 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/buffer/parse_buffer_create.cpp | C++        |        122 |         14 |          4 |        140 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/buffer/parse_buffer_expect.cpp | C++        |        105 |         17 |         13 |        135 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/buffer/parse_buffer_len.cpp    | C++        |         20 |         12 |          2 |         34 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/buffer/parse_buffer_push.cpp   | C++        |        101 |         19 |         19 |        139 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/buffer/parse_buffer_put.cpp    | C++        |         66 |         17 |         11 |         94 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/flow/parse_if.cpp              | C++        |         84 |         32 |          3 |        119 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/flow/parse_on.cpp              | C++        |         12 |         35 |          3 |         50 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/flow/parse_while.cpp           | C++        |         27 |         16 |          2 |         45 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/flow/parse_with.cpp            | C++        |         84 |         15 |          4 |        103 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/parse_expression.cpp           | C++        |        171 |         31 |         14 |        216 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/parse_primitive.cpp            | C++        |         20 |         14 |          2 |         36 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/expression/parse_runtype.cpp              | C++        |        240 |         25 |          5 |        270 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/gather_tuple.cpp                          | C++        |         93 |         12 |          4 |        109 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/next_var/next_var.cpp                     | C++        |         78 |         13 |          3 |         94 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/next_var/next_var_and.cpp                 | C++        |         41 |         12 |          1 |         54 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/next_var/next_var_at.cpp                  | C++        |        143 |         12 |          3 |        158 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/next_var/next_var_buffer_at.cpp           | C++        |        239 |         26 |         19 |        284 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/next_var/next_var_field.cpp               | C++        |        149 |         12 |          4 |        165 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/next_var/next_var_or.cpp                  | C++        |         39 |         12 |          1 |         52 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/parse.cpp                                 | C++        |        216 |         31 |          9 |        256 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/parse_signature.cpp                       | C++        |        409 |         20 |         22 |        451 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/properties/properties.cpp                 | C++        |        131 |         15 |          3 |        149 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/rebase.cpp                                | C++        |         33 |         12 |          4 |         49 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/returns/map_to_return.cpp                 | C++        |        191 |         17 |          5 |        213 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/returns/parse_return.cpp                  | C++        |         68 |         16 |          4 |         88 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/simplify.cpp                              | C++        |        295 |         26 |         19 |        340 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/tostr/recommendations.cpp                 | C++        |         44 |         14 |          3 |         61 |
| /home/maniospas/Desktop/p4ot/smol/src/parser/tostr/signature.cpp                       | C++        |        122 |          3 |          6 |        131 |
| /home/maniospas/Desktop/p4ot/smol/src/smolang.cpp                                      | C++        |        615 |         38 |         23 |        676 |
| /home/maniospas/Desktop/p4ot/smol/src/tokenize.cpp                                     | C++        |        335 |         19 |         18 |        372 |
| /home/maniospas/Desktop/p4ot/smol/src/tokenize.h                                       | C++        |         40 |         13 |          9 |         62 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/base62.cpp                                 | C++        |         18 |         12 |          4 |         34 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/base62.h                                   | C++        |          7 |         12 |          4 |         23 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/common.cpp                                 | C++        |        177 |         17 |         20 |        214 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/common.h                                   | C++        |         33 |         17 |         11 |         61 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/compiler.cpp                               | C++        |         30 |          5 |          4 |         39 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/compiler.h                                 | C++        |         34 |         13 |          8 |         55 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/faststring.cpp                             | C++        |         14 |         12 |          3 |         29 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/faststring.h                               | C++        |         31 |         12 |          7 |         50 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/segments.h                                 | C++        |        292 |         45 |         23 |        360 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/tasks.cpp                                  | C++        |         24 |          0 |          1 |         25 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/tasks.h                                    | C++        |         15 |          0 |          3 |         18 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/topython.cpp                               | C++        |         25 |          0 |          2 |         27 |
| /home/maniospas/Desktop/p4ot/smol/src/utils/topython.h                                 | C++        |          8 |          0 |          4 |         12 |
| /home/maniospas/Desktop/p4ot/smol/std/core.s                                           | smoλ       |          6 |         16 |          2 |         24 |
| /home/maniospas/Desktop/p4ot/smol/std/core/convert.s                                   | smoλ       |        166 |         16 |         11 |        193 |
| /home/maniospas/Desktop/p4ot/smol/std/core/err.s                                       | smoλ       |         58 |         17 |          7 |         82 |
| /home/maniospas/Desktop/p4ot/smol/std/core/num.s                                       | smoλ       |        164 |         16 |         46 |        226 |
| /home/maniospas/Desktop/p4ot/smol/std/core/range.s                                     | smoλ       |         23 |         16 |          6 |         45 |
| /home/maniospas/Desktop/p4ot/smol/std/core/str.s                                       | smoλ       |        224 |         21 |         40 |        285 |
| /home/maniospas/Desktop/p4ot/smol/std/file.s                                           | smoλ       |        346 |         18 |         24 |        388 |
| /home/maniospas/Desktop/p4ot/smol/std/html.s                                           | smoλ       |         15 |          4 |          6 |         25 |
| /home/maniospas/Desktop/p4ot/smol/std/map.s                                            | smoλ       |          0 |        263 |         29 |        292 |
| /home/maniospas/Desktop/p4ot/smol/std/math.s                                           | smoλ       |         61 |         16 |         15 |         92 |
| /home/maniospas/Desktop/p4ot/smol/std/mem.s                                            | smoλ       |          4 |         16 |          2 |         22 |
| /home/maniospas/Desktop/p4ot/smol/std/mem/arena.s                                      | smoλ       |        131 |         23 |         27 |        181 |
| /home/maniospas/Desktop/p4ot/smol/std/mem/device.s                                     | smoλ       |         70 |         16 |         16 |        102 |
| /home/maniospas/Desktop/p4ot/smol/std/mem/grid.s                                       | smoλ       |          0 |         57 |          8 |         65 |
| /home/maniospas/Desktop/p4ot/smol/std/mem/str.s                                        | smoλ       |        117 |         16 |         12 |        145 |
| /home/maniospas/Desktop/p4ot/smol/std/os.s                                             | smoλ       |        122 |         20 |         14 |        156 |
| /home/maniospas/Desktop/p4ot/smol/std/oscommon.h                                       | C++        |        124 |         16 |         28 |        168 |
| /home/maniospas/Desktop/p4ot/smol/std/rand.s                                           | smoλ       |         64 |         22 |          9 |         95 |
| /home/maniospas/Desktop/p4ot/smol/std/ray.s                                            | smoλ       |        142 |         19 |         21 |        182 |
| /home/maniospas/Desktop/p4ot/smol/std/rayget.s                                         | smoλ       |         17 |          0 |          2 |         19 |
| /home/maniospas/Desktop/p4ot/smol/std/runtime/auto.h                                   | C++        |          7 |         47 |          4 |         58 |
| /home/maniospas/Desktop/p4ot/smol/std/runtime/eager.h                                  | C++        |        105 |         52 |         26 |        183 |
| /home/maniospas/Desktop/p4ot/smol/std/runtime/threads.h                                | C++        |        408 |         76 |         49 |        533 |
| /home/maniospas/Desktop/p4ot/smol/std/time.s                                           | smoλ       |         27 |         17 |          7 |         51 |
| /home/maniospas/Desktop/p4ot/smol/std/vec.s                                            | smoλ       |        198 |         17 |         22 |        237 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/file.s                                     | smoλ       |         33 |          0 |          5 |         38 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/index.c                                    | C          |        368 |          4 |         14 |        386 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/index.s                                    | smoλ       |         23 |          3 |          6 |         32 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/ray.c                                      | C          |        984 |          8 |         22 |      1,014 |
| /home/maniospas/Desktop/p4ot/smol/tests/app/ray.s                                      | smoλ       |         71 |          3 |         10 |         84 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/access.s                           | smoλ       |          8 |          1 |          2 |         11 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/acquire.s                          | smoλ       |         17 |          1 |          3 |         21 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/advanced_proof.s                   | smoλ       |         55 |          7 |         18 |         80 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/banana.c                           | C          |        349 |          4 |         13 |        366 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/banana.s                           | smoλ       |          6 |          0 |          3 |          9 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/console.s                          | smoλ       |         11 |          0 |          2 |         13 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/console_read.s                     | smoλ       |         12 |          0 |          2 |         14 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/coroutine.s                        | smoλ       |          7 |          0 |          3 |         10 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/hello.s                            | smoλ       |         13 |          0 |          2 |         15 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/nummap.s                           | smoλ       |         13 |          0 |          3 |         16 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/point.s                            | smoλ       |         18 |          0 |          5 |         23 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/process.s                          | smoλ       |          8 |          0 |          1 |          9 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/proof.s                            | smoλ       |         25 |          6 |          7 |         38 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/rand.s                             | smoλ       |          6 |          0 |          2 |          8 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/release.s                          | smoλ       |         14 |          1 |          4 |         19 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/release_service.s                  | smoλ       |          8 |          3 |          3 |         14 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/serialize.s                        | smoλ       |         36 |          4 |         10 |         50 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/sleep.s                            | smoλ       |         14 |          5 |          3 |         22 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/splt.s                             | smoλ       |         23 |          0 |          3 |         26 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/unsafe_map.s                       | smoλ       |         17 |          3 |          3 |         23 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/all.c                                     | C          |      2,407 |         32 |         59 |      2,498 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/all.s                                     | smoλ       |         53 |          8 |          5 |         66 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/bbuffer.s                         | smoλ       |         15 |          0 |          3 |         18 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/buffer.s                          | smoλ       |         14 |          0 |          6 |         20 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/bufferconst.s                     | smoλ       |         18 |          0 |          5 |         23 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/buffergrow.s                      | smoλ       |          6 |          0 |          1 |          7 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/retbuffer.c                       | C          |        111 |          4 |         12 |        127 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/retbuffer.s                       | smoλ       |         18 |          0 |          7 |         25 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/sbuffer.s                         | smoλ       |          8 |          0 |          2 |         10 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/servbuf.s                         | smoλ       |          9 |          0 |          4 |         13 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/map                                       | C++        |        102 |          0 |          0 |        102 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/map.s                                     | smoλ       |         11 |          0 |          3 |         14 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/dynamic.c                       | C          |        516 |          4 |         12 |        532 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/dynamic.s                       | smoλ       |         56 |          0 |         16 |         72 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/effvec.s                        | smoλ       |         12 |          0 |          6 |         18 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/fail.c                          | C          |        279 |          8 |         20 |        307 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/fail.s                          | smoλ       |          9 |          1 |          2 |         12 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/file.c                          | C          |        355 |          4 |         14 |        373 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/file.s                          | smoλ       |         11 |          0 |          3 |         14 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/filesize.s                      | smoλ       |          8 |          0 |          2 |         10 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/finally.s                       | smoλ       |         14 |          0 |          3 |         17 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/mem.s                           | smoλ       |          6 |          0 |          2 |          8 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/memtest.s                       | smoλ       |         13 |          0 |          3 |         16 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/ref.s                           | smoλ       |         11 |          0 |          4 |         15 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/strcat.s                        | smoλ       |         18 |          5 |          8 |         31 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/vec.c                           | C          |        519 |          4 |         13 |        536 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/vec.s                           | smoλ       |         12 |          0 |          3 |         15 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/virtfile.s                      | smoλ       |         11 |          0 |          2 |         13 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/service/fib.c                             | C          |        114 |          7 |         17 |        138 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/service/fib.py                            | Python     |         42 |          0 |          9 |         51 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/service/fib.s                             | smoλ       |         11 |          2 |          3 |         16 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/service/fibtest.py                        | Python     |          2 |          0 |          2 |          4 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/service/infinite.s                        | smoλ       |         14 |          0 |          5 |         19 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/sgn.c                                     | C          |         94 |          3 |         11 |        108 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/sgn.s                                     | smoλ       |         17 |          1 |          4 |         22 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/strdsl.s                                  | smoλ       |         34 |          0 |          7 |         41 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/affine.s                         | smoλ       |          6 |          0 |          2 |          8 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/algorithm                        | C++        |         14 |          0 |          1 |         15 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/algorithm.s                      | smoλ       |         12 |          0 |          1 |         13 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/buffer.s                         | smoλ       |         19 |          1 |          6 |         26 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/hello.s                          | smoλ       |          3 |          0 |          1 |          4 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/number.s                         | smoλ       |          7 |          0 |          1 |          8 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/pong.s                           | smoλ       |         17 |          0 |          4 |         21 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/types/accessvar.s                         | smoλ       |         18 |          0 |          5 |         23 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/types/circ.s                              | smoλ       |         27 |          0 |          7 |         34 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/types/dataunion.s                         | smoλ       |         10 |          5 |          5 |         20 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/types/mutpoint.s                          | smoλ       |         35 |          1 |         11 |         47 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/types/nom.s                               | smoλ       |         12 |          0 |          4 |         16 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/types/poly.s                              | smoλ       |         10 |          0 |          4 |         14 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/types/pong.c                              | C          |        163 |          4 |         12 |        179 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/types/pong.s                              | smoλ       |         19 |          0 |          5 |         24 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/types/range_test.c                        | C          |        116 |          3 |         11 |        130 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/types/range_test.s                        | smoλ       |         10 |          0 |          1 |         11 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/types/union.s                             | smoλ       |         14 |          2 |          4 |         20 |
| Total                                                                                  |            |     21,199 |      2,007 |      1,907 |     25,113 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
